date, base, rates
2020-05-27,MXN,22.3269948139
2020-05-27,MXN,22.3269948139
2020-05-28,MXN,22.2930283224
2020-05-29,MXN,22.0635775862
2020-05-29,MXN,22.0635775862
2020-05-29,MXN,22.0635775862
2020-06-01,MXN,21.9971212666
2020-06-02,MXN,21.8764990156
2020-06-03,MXN,21.6876898338
2020-06-04,MXN,21.7565333333
2020-06-05,MXN,21.7533980583
2020-06-05,MXN,21.7533980583
2020-06-05,MXN,21.7533980583
2020-06-08,MXN,21.552503323
2020-06-09,MXN,21.7607579246
2020-06-10,MXN,21.8246153846
2020-06-11,MXN,22.3989249207
2020-06-12,MXN,22.5097310686
2020-06-12,MXN,22.5097310686
2020-06-12,MXN,22.5097310686
2020-06-15,MXN,22.5804674309
2020-06-16,MXN,22.0800318359
2020-06-17,MXN,22.2058404558
2020-06-18,MXN,22.5118517198
2020-06-19,MXN,22.5803746655
2020-06-19,MXN,22.5803746655
2020-06-19,MXN,22.5803746655
2020-06-22,MXN,22.5018282351
2020-06-23,MXN,22.3093302704
2020-06-24,MXN,22.5862588652
2020-06-25,MXN,22.8852678571
2020-06-26,MXN,22.816017123
2020-06-26,MXN,22.816017123
2020-06-26,MXN,22.816017123
2020-06-29,MXN,22.973236441
2020-06-30,MXN,23.1711019825
2020-07-01,MXN,22.946875
2020-07-02,MXN,22.6262626263
2020-07-03,MXN,22.5453492516
2020-07-03,MXN,22.5453492516
2020-07-03,MXN,22.5453492516
2020-07-06,MXN,22.1816335541
2020-07-07,MXN,22.5654561559
2020-07-08,MXN,22.7213361687
2020-07-09,MXN,22.6578204902
2020-07-10,MXN,22.7876019865
2020-07-10,MXN,22.7876019865
2020-07-10,MXN,22.7876019865
2020-07-13,MXN,22.4959837585
2020-07-14,MXN,22.6270769231
2020-07-15,MXN,22.2613596645
2020-07-16,MXN,22.3454529525
2020-07-17,MXN,22.4126706335
2020-07-17,MXN,22.4126706335
2020-07-17,MXN,22.4126706335
2020-07-20,MXN,22.5556429071
2020-07-21,MXN,22.3638905881
2020-07-22,MXN,22.3453964415
2020-07-23,MXN,22.4466246002
2020-07-24,MXN,22.4676085458
2020-07-24,MXN,22.4676085458
2020-07-24,MXN,22.4676085458
2020-07-27,MXN,22.1159013605
2020-07-28,MXN,22.056669796
2020-07-29,MXN,21.8601279318
2020-07-30,MXN,22.1494507366
2020-07-31,MXN,22.179270763
2020-07-31,MXN,22.179270763
2020-07-31,MXN,22.179270763
2020-08-03,MXN,22.4023537438
2020-08-04,MXN,22.7285167871
2020-08-05,MXN,22.534587481
2020-08-06,MXN,22.4731909145
2020-08-07,MXN,22.4360666836
2020-08-07,MXN,22.4360666836
2020-08-07,MXN,22.4360666836
2020-08-10,MXN,22.3622375244
2020-08-11,MXN,22.3226682509
2020-08-12,MXN,22.3754141534
2020-08-13,MXN,22.3419251247
2020-08-14,MXN,22.1812410057
2020-08-14,MXN,22.1812410057
2020-08-14,MXN,22.1812410057
2020-08-17,MXN,22.0133299587
2020-08-18,MXN,22.0582899378
2020-08-19,MXN,22.1092767954
2020-08-20,MXN,22.2541772152
2020-08-21,MXN,22.1480159742
2020-08-21,MXN,22.1480159742
2020-08-21,MXN,22.1480159742
2020-08-24,MXN,21.8879885203
2020-08-25,MXN,21.9040121889
2020-08-26,MXN,21.9484264993
2020-08-27,MXN,21.9553616805
