date, base, rates
2020-05-27,GBP,0.8151669548
2020-05-27,GBP,0.8151669548
2020-05-28,GBP,0.8145243282
2020-05-29,GBP,0.8089798851
2020-05-29,GBP,0.8089798851
2020-05-29,GBP,0.8089798851
2020-06-01,GBP,0.8067020511
2020-06-02,GBP,0.7972346519
2020-06-03,GBP,0.7956494551
2020-06-04,GBP,0.7972
2020-06-05,GBP,0.7894792586
2020-06-05,GBP,0.7894792586
2020-06-05,GBP,0.7894792586
2020-06-08,GBP,0.7901905184
2020-06-09,GBP,0.789091553
2020-06-10,GBP,0.7820923077
2020-06-11,GBP,0.7901392316
2020-06-12,GBP,0.7931086341
2020-06-12,GBP,0.7931086341
2020-06-12,GBP,0.7931086341
2020-06-15,GBP,0.7966586688
2020-06-16,GBP,0.7903254333
2020-06-17,GBP,0.7963675214
2020-06-18,GBP,0.802245589
2020-06-19,GBP,0.8073595004
2020-06-19,GBP,0.8073595004
2020-06-19,GBP,0.8073595004
2020-06-22,GBP,0.8055649692
2020-06-23,GBP,0.8007598516
2020-06-24,GBP,0.8009131206
2020-06-25,GBP,0.8047589286
2020-06-26,GBP,0.8077677696
2020-06-26,GBP,0.8077677696
2020-06-26,GBP,0.8077677696
2020-06-29,GBP,0.8112371499
2020-06-30,GBP,0.8148151456
2020-07-01,GBP,0.8074107143
2020-07-02,GBP,0.7994417863
2020-07-03,GBP,0.8029223093
2020-07-03,GBP,0.8029223093
2020-07-03,GBP,0.8029223093
2020-07-06,GBP,0.7991611479
2020-07-07,GBP,0.7984942427
2020-07-08,GBP,0.7967659047
2020-07-09,GBP,0.7904690531
2020-07-10,GBP,0.7943419652
2020-07-10,GBP,0.7943419652
2020-07-10,GBP,0.7943419652
2020-07-13,GBP,0.7938741283
2020-07-14,GBP,0.7980483516
2020-07-15,GBP,0.7911569381
2020-07-16,GBP,0.7961713685
2020-07-17,GBP,0.7969723486
2020-07-17,GBP,0.7969723486
2020-07-17,GBP,0.7969723486
2020-07-20,GBP,0.7911862334
2020-07-21,GBP,0.7869876781
2020-07-22,GBP,0.7870357575
2020-07-23,GBP,0.7882703777
2020-07-24,GBP,0.7838128877
2020-07-24,GBP,0.7838128877
2020-07-24,GBP,0.7838128877
2020-07-27,GBP,0.7767006803
2020-07-28,GBP,0.7763762055
2020-07-29,GBP,0.7708742004
2020-07-30,GBP,0.7686962446
2020-07-31,GBP,0.76006921
2020-07-31,GBP,0.76006921
2020-07-31,GBP,0.76006921
2020-08-03,GBP,0.7676360225
2020-08-04,GBP,0.7678283043
2020-08-05,GBP,0.7614729205
2020-08-06,GBP,0.7602212277
2020-08-07,GBP,0.7647710925
2020-08-07,GBP,0.7647710925
2020-08-07,GBP,0.7647710925
2020-08-10,GBP,0.7664286322
2020-08-11,GBP,0.7624798438
2020-08-12,GBP,0.7686262849
2020-08-13,GBP,0.7637370067
2020-08-14,GBP,0.7633370016
2020-08-14,GBP,0.7633370016
2020-08-14,GBP,0.7633370016
2020-08-17,GBP,0.7645743694
2020-08-18,GBP,0.7590710566
2020-08-19,GBP,0.7571021537
2020-08-20,GBP,0.7609535865
2020-08-21,GBP,0.7626391367
2020-08-21,GBP,0.7626391367
2020-08-21,GBP,0.7626391367
2020-08-24,GBP,0.7611631637
2020-08-25,GBP,0.761342475
2020-08-26,GBP,0.7607939605
2020-08-27,GBP,0.7581314586
2020-08-28,GBP,0.7508854385
2020-08-28,GBP,0.7508854385
2020-08-28,GBP,0.7508854385
2020-08-31,GBP,0.7504606365
2020-09-01,GBP,0.742262451
2020-09-02,GBP,0.7490093584
2020-09-03,GBP,0.754550072
2020-09-04,GBP,0.7543067049
2020-09-04,GBP,0.7543067049
2020-09-04,GBP,0.7543067049
2020-09-07,GBP,0.7597682679
2020-09-08,GBP,0.7675265168
2020-09-09,GBP,0.7747642912
2020-09-10,GBP,0.7729766225
2020-09-11,GBP,0.7795512063
2020-09-11,GBP,0.7795512063
2020-09-11,GBP,0.7795512063
2020-09-14,GBP,0.7762714719
2020-09-15,GBP,0.774428187
2020-09-16,GBP,0.7702670823
2020-09-17,GBP,0.7758752225
2020-09-18,GBP,0.7717231471
2020-09-18,GBP,0.7717231471
2020-09-18,GBP,0.7717231471
2020-09-21,GBP,0.7771952151
2020-09-22,GBP,0.7814565588
2020-09-23,GBP,0.7858792337
2020-09-24,GBP,0.7834091885
2020-09-25,GBP,0.7851383875
2020-09-25,GBP,0.7851383875
2020-09-25,GBP,0.7851383875
2020-09-28,GBP,0.7755612682
2020-09-29,GBP,0.7773286618
2020-09-30,GBP,0.7792535019
2020-10-01,GBP,0.7719792376
2020-10-02,GBP,0.7730008525
2020-10-02,GBP,0.7730008525
2020-10-02,GBP,0.7730008525
2020-10-05,GBP,0.7716689327
2020-10-06,GBP,0.7720050869
2020-10-07,GBP,0.7766610025
2020-10-08,GBP,0.7737781555
2020-10-09,GBP,0.7729292073
2020-10-09,GBP,0.7729292073
2020-10-09,GBP,0.7729292073
2020-10-12,GBP,0.7678447326
2020-10-13,GBP,0.7685670654
2020-10-14,GBP,0.7693191489
2020-10-15,GBP,0.7739357155
2020-10-16,GBP,0.7743377906
2020-10-16,GBP,0.7743377906
2020-10-16,GBP,0.7743377906
2020-10-19,GBP,0.7686720407
2020-10-20,GBP,0.773319221
2020-10-21,GBP,0.7657273034
2020-10-22,GBP,0.7636663565
2020-10-23,GBP,0.7648026316
2020-10-23,GBP,0.7648026316
2020-10-23,GBP,0.7648026316
2020-10-26,GBP,0.7678737626
2020-10-27,GBP,0.7667173766
2020-10-28,GBP,0.7731048009
2020-10-29,GBP,0.7726418319
2020-10-30,GBP,0.7711403659
2020-10-30,GBP,0.7711403659
2020-10-30,GBP,0.7711403659
2020-11-02,GBP,0.7728544456
2020-11-03,GBP,0.7694582123
2020-11-04,GBP,0.7674601143
2020-11-05,GBP,0.7629692113
2020-11-06,GBP,0.7618365628
2020-11-06,GBP,0.7618365628
2020-11-06,GBP,0.7618365628
2020-11-09,GBP,0.7592695447
2020-11-10,GBP,0.755276084
2020-11-11,GBP,0.7558643549
2020-11-12,GBP,0.7613009923
2020-11-13,GBP,0.7590605163
2020-11-13,GBP,0.7590605163
2020-11-13,GBP,0.7590605163
2020-11-16,GBP,0.7592476754
2020-11-17,GBP,0.753955563
2020-11-18,GBP,0.7530586451
2020-11-19,GBP,0.7553921569
2020-11-20,GBP,0.7535446346
2020-11-20,GBP,0.7535446346
2020-11-20,GBP,0.7535446346
2020-11-23,GBP,0.7468952189
2020-11-24,GBP,0.7502064897
2020-11-25,GBP,0.7496131203
2020-11-26,GBP,0.7489831933
2020-11-27,GBP,0.7502264721
2020-11-27,GBP,0.7502264721
2020-11-27,GBP,0.7502264721
2020-11-30,GBP,0.7499582638
2020-12-01,GBP,0.7503175134
2020-12-02,GBP,0.7499585612
2020-12-03,GBP,0.743626039
2020-12-04,GBP,0.7425117197
2020-12-04,GBP,0.7425117197
2020-12-04,GBP,0.7425117197
2020-12-07,GBP,0.7521025726
2020-12-08,GBP,0.7523774146
