date, base, rates
2020-05-27,SEK,9.6085888454
2020-05-27,SEK,9.6085888454
2020-05-28,SEK,9.5751633987
2020-05-29,SEK,9.4172054598
2020-05-29,SEK,9.4172054598
2020-05-29,SEK,9.4172054598
2020-06-01,SEK,9.4130082764
2020-06-02,SEK,9.3538571684
2020-06-03,SEK,9.3432195819
2020-06-04,SEK,9.2597333333
2020-06-05,SEK,9.2012356575
2020-06-05,SEK,9.2012356575
2020-06-05,SEK,9.2012356575
2020-06-08,SEK,9.2138236597
2020-06-09,SEK,9.2250752612
2020-06-10,SEK,9.196043956
2020-06-11,SEK,9.2543179415
2020-06-12,SEK,9.2978591649
2020-06-12,SEK,9.2978591649
2020-06-12,SEK,9.2978591649
2020-06-15,SEK,9.3657691282
2020-06-16,SEK,9.2974885037
2020-06-17,SEK,9.359241453
2020-06-18,SEK,9.4034040278
2020-06-19,SEK,9.4264049955
2020-06-19,SEK,9.4264049955
2020-06-19,SEK,9.4264049955
2020-06-22,SEK,9.4109515741
2020-06-23,SEK,9.2927195618
2020-06-24,SEK,9.3213652482
2020-06-25,SEK,9.3629464286
2020-06-26,SEK,9.3438865602
2020-06-26,SEK,9.3438865602
2020-06-26,SEK,9.3438865602
2020-06-29,SEK,9.2857142857
2020-06-30,SEK,9.3720307198
2020-07-01,SEK,9.371875
2020-07-02,SEK,9.2712209817
2020-07-03,SEK,9.3295616536
2020-07-03,SEK,9.3295616536
2020-07-03,SEK,9.3295616536
2020-07-06,SEK,9.2581015453
2020-07-07,SEK,9.26085031
2020-07-08,SEK,9.2424242424
2020-07-09,SEK,9.1668136131
2020-07-10,SEK,9.2213550905
2020-07-10,SEK,9.2213550905
2020-07-10,SEK,9.2213550905
2020-07-13,SEK,9.1652396505
2020-07-14,SEK,9.1301098901
2020-07-15,SEK,9.0412443202
2020-07-16,SEK,9.0678114596
2020-07-17,SEK,9.0418270914
2020-07-17,SEK,9.0418270914
2020-07-17,SEK,9.0418270914
2020-07-20,SEK,8.9980782669
2020-07-21,SEK,8.9478283667
2020-07-22,SEK,8.8456555536
2020-07-23,SEK,8.8719854784
2020-07-24,SEK,8.8464851826
2020-07-24,SEK,8.8464851826
2020-07-24,SEK,8.8464851826
2020-07-27,SEK,8.731122449
2020-07-28,SEK,8.7752837757
2020-07-29,SEK,8.7735607676
2020-07-30,SEK,8.7769735161
2020-07-31,SEK,8.6795239703
2020-07-31,SEK,8.6795239703
2020-07-31,SEK,8.6795239703
2020-08-03,SEK,8.7803172437
2020-08-04,SEK,8.7569060773
2020-08-05,SEK,8.6776615488
2020-08-06,SEK,8.7110529427
2020-08-07,SEK,8.7300499281
2020-08-07,SEK,8.7300499281
2020-08-07,SEK,8.7300499281
2020-08-10,SEK,8.7396922554
2020-08-11,SEK,8.727403887
2020-08-12,SEK,8.708945714
2020-08-13,SEK,8.6831741739
2020-08-14,SEK,8.713535935
2020-08-14,SEK,8.713535935
2020-08-14,SEK,8.713535935
2020-08-17,SEK,8.6988947946
2020-08-18,SEK,8.6678985386
2020-08-19,SEK,8.6432581916
2020-08-20,SEK,8.7388185654
2020-08-21,SEK,8.8053360523
2020-08-21,SEK,8.8053360523
