date, base, rates
2020-05-27,AUD,1.5071422073
2020-05-27,AUD,1.5071422073
2020-05-28,AUD,1.5090777052
2020-05-29,AUD,1.4979346264
2020-05-29,AUD,1.4979346264
2020-05-29,AUD,1.4979346264
2020-06-01,AUD,1.4832673624
2020-06-02,AUD,1.4596384464
2020-06-03,AUD,1.4543505449
2020-06-04,AUD,1.4467555556
2020-06-05,AUD,1.4322153575
2020-06-05,AUD,1.4322153575
2020-06-05,AUD,1.4322153575
2020-06-08,AUD,1.4316349136
2020-06-09,AUD,1.440322295
2020-06-10,AUD,1.4259340659
2020-06-11,AUD,1.4470391258
2020-06-12,AUD,1.4549716914
2020-06-12,AUD,1.4549716914
2020-06-12,AUD,1.4549716914
2020-06-15,AUD,1.4641428952
2020-06-16,AUD,1.4435797665
2020-06-17,AUD,1.4504985755
2020-06-18,AUD,1.4574942078
2020-06-19,AUD,1.4505798394
2020-06-19,AUD,1.4505798394
2020-06-19,AUD,1.4505798394
2020-06-22,AUD,1.4529563899
2020-06-23,AUD,1.4377098427
2020-06-24,AUD,1.4487588652
2020-06-25,AUD,1.4572321429
2020-06-26,AUD,1.4548292161
2020-06-26,AUD,1.4548292161
2020-06-26,AUD,1.4548292161
2020-06-29,AUD,1.4539170507
2020-06-30,AUD,1.4595463476
2020-07-01,AUD,1.4525
2020-07-02,AUD,1.4439128123
2020-07-03,AUD,1.4411083393
2020-07-03,AUD,1.4411083393
2020-07-03,AUD,1.4411083393
2020-07-06,AUD,1.4331125828
2020-07-07,AUD,1.4403011515
2020-07-08,AUD,1.4391281233
2020-07-09,AUD,1.4317580674
2020-07-10,AUD,1.4408478184
2020-07-10,AUD,1.4408478184
2020-07-10,AUD,1.4408478184
2020-07-13,AUD,1.4341954277
2020-07-14,AUD,1.4371868132
2020-07-15,AUD,1.4237154841
2020-07-16,AUD,1.431400035
2020-07-17,AUD,1.4315715786
2020-07-17,AUD,1.4315715786
2020-07-17,AUD,1.4315715786
2020-07-20,AUD,1.4289832285
