date, base, rates
2020-05-27,PLN,4.037121281
2020-05-27,PLN,4.037121281
2020-05-28,PLN,4.0161583152
2020-05-29,PLN,3.9955998563
2020-05-29,PLN,3.9955998563
2020-05-29,PLN,3.9955998563
2020-06-01,PLN,3.9832673624
2020-06-02,PLN,3.9370860927
2020-06-03,PLN,3.9427371806
2020-06-04,PLN,3.9441777778
2020-06-05,PLN,3.9210061783
2020-06-05,PLN,3.9210061783
2020-06-05,PLN,3.9210061783
2020-06-08,PLN,3.9284891449
2020-06-09,PLN,3.9369576766
2020-06-10,PLN,3.9141978022
2020-06-11,PLN,3.941575608
2020-06-12,PLN,3.9352441614
2020-06-12,PLN,3.9352441614
2020-06-12,PLN,3.9352441614
2020-06-15,PLN,3.9413489736
2020-06-16,PLN,3.9151043509
2020-06-17,PLN,3.9589565527
2020-06-18,PLN,3.9785243272
2020-06-19,PLN,3.9710972346
2020-06-19,PLN,3.9710972346
2020-06-19,PLN,3.9710972346
2020-06-22,PLN,3.9679835905
2020-06-23,PLN,3.9203922955
2020-06-24,PLN,3.9432624113
2020-06-25,PLN,3.986875
2020-06-26,PLN,3.9850173905
2020-06-26,PLN,3.9850173905
2020-06-26,PLN,3.9850173905
2020-06-29,PLN,3.9581708614
2020-06-30,PLN,3.9792820146
2020-07-01,PLN,3.980625
2020-07-02,PLN,3.9642034379
2020-07-03,PLN,3.9813791875
2020-07-03,PLN,3.9813791875
2020-07-03,PLN,3.9813791875
2020-07-06,PLN,3.9460485651
2020-07-07,PLN,3.9577502214
2020-07-08,PLN,3.9664185717
2020-07-09,PLN,3.9371363075
2020-07-10,PLN,3.9679851011
2020-07-10,PLN,3.9679851011
2020-07-10,PLN,3.9679851011
2020-07-13,PLN,3.9507458734
2020-07-14,PLN,3.9367912088
2020-07-15,PLN,3.9049283467
2020-07-16,PLN,3.9362186788
2020-07-17,PLN,3.9225586279
2020-07-17,PLN,3.9225586279
2020-07-17,PLN,3.9225586279
2020-07-20,PLN,3.8951781971
2020-07-21,PLN,3.8767805645
2020-07-22,PLN,3.825185697
2020-07-23,PLN,3.8154550955
2020-07-24,PLN,3.794452102
2020-07-24,PLN,3.794452102
2020-07-24,PLN,3.794452102
2020-07-27,PLN,3.7428571429
2020-07-28,PLN,3.7598361355
2020-07-29,PLN,3.7692110874
2020-07-30,PLN,3.7537256238
2020-07-31,PLN,3.7165766374
2020-07-31,PLN,3.7165766374
2020-07-31,PLN,3.7165766374
2020-08-03,PLN,3.769486611
2020-08-04,PLN,3.7445813855
2020-08-05,PLN,3.7063438502
2020-08-06,PLN,3.7214388246
2020-08-07,PLN,3.7303037996
2020-08-07,PLN,3.7303037996
2020-08-07,PLN,3.7303037996
2020-08-10,PLN,3.7423276375
2020-08-11,PLN,3.7357209539
2020-08-12,PLN,3.74080367
2020-08-13,PLN,3.7157103017
2020-08-14,PLN,3.7233556252
2020-08-14,PLN,3.7233556252
2020-08-14,PLN,3.7233556252
2020-08-17,PLN,3.7092719143
2020-08-18,PLN,3.6846967915
2020-08-19,PLN,3.6823933629
2020-08-20,PLN,3.7058227848
2020-08-21,PLN,3.7368510494
2020-08-21,PLN,3.7368510494
2020-08-21,PLN,3.7368510494
2020-08-24,PLN,3.7128386933
2020-08-25,PLN,3.7175385136
2020-08-26,PLN,3.7385698533
2020-08-27,PLN,3.7263255972
2020-08-28,PLN,3.6861938733
2020-08-28,PLN,3.6861938733
2020-08-28,PLN,3.6861938733
2020-08-31,PLN,3.6826633166
2020-09-01,PLN,3.6643864186
2020-09-02,PLN,3.72531827
2020-09-03,PLN,3.7474815881
2020-09-04,PLN,3.7589934133
2020-09-04,PLN,3.7589934133
2020-09-04,PLN,3.7589934133
2020-09-07,PLN,3.7638700947
2020-09-08,PLN,3.7745439118
2020-09-09,PLN,3.7796653359
2020-09-10,PLN,3.7577010718
