date, base, rates
2020-05-27,BRL,5.3388226731
2020-05-27,BRL,5.3388226731
2020-05-28,BRL,5.3100036311
2020-05-29,BRL,5.3568606322
2020-05-29,BRL,5.3568606322
2020-05-29,BRL,5.3568606322
2020-06-01,BRL,5.3324937028
2020-06-02,BRL,5.3247717917
2020-06-03,BRL,5.1807218153
2020-06-04,BRL,5.0656888889
2020-06-05,BRL,5.059929391
2020-06-05,BRL,5.059929391
2020-06-05,BRL,5.059929391
2020-06-08,BRL,4.935932654
2020-06-09,BRL,4.8648840092
2020-06-10,BRL,4.8538901099
2020-06-11,BRL,4.9762953824
2020-06-12,BRL,5.0767869781
2020-06-12,BRL,5.0767869781
2020-06-12,BRL,5.0767869781
2020-06-15,BRL,5.1585355016
2020-06-16,BRL,5.0978952954
2020-06-17,BRL,5.2102029915
2020-06-18,BRL,5.3232935306
2020-06-19,BRL,5.3549509367
2020-06-19,BRL,5.3549509367
2020-06-19,BRL,5.3549509367
2020-06-22,BRL,5.2838669402
2020-06-23,BRL,5.2134652766
2020-06-24,BRL,5.1792553191
2020-06-25,BRL,5.3582142857
2020-06-26,BRL,5.4039953625
2020-06-26,BRL,5.4039953625
2020-06-26,BRL,5.4039953625
2020-06-29,BRL,5.4151896491
2020-06-30,BRL,5.4579389177
2020-07-01,BRL,5.4428571429
2020-07-02,BRL,5.3006379585
2020-07-03,BRL,5.3561119031
2020-07-03,BRL,5.3561119031
2020-07-03,BRL,5.3561119031
2020-07-06,BRL,5.2754966887
2020-07-07,BRL,5.3765279008
2020-07-08,BRL,5.3552188552
2020-07-09,BRL,5.3359195909
2020-07-10,BRL,5.3823164243
2020-07-10,BRL,5.3823164243
2020-07-10,BRL,5.3823164243
2020-07-13,BRL,5.3397475505
2020-07-14,BRL,5.356043956
2020-07-15,BRL,5.3225270884
2020-07-16,BRL,5.3578062029
2020-07-17,BRL,5.3236786839
2020-07-17,BRL,5.3236786839
2020-07-17,BRL,5.3236786839
2020-07-20,BRL,5.3703703704
2020-07-21,BRL,5.2797343354
2020-07-22,BRL,5.1753325272
2020-07-23,BRL,5.1451292247
2020-07-24,BRL,5.2357856651
2020-07-24,BRL,5.2357856651
2020-07-24,BRL,5.2357856651
2020-07-27,BRL,5.1801870748
2020-07-28,BRL,5.1762396518
2020-07-29,BRL,5.129978678
2020-07-30,BRL,5.2106787022
2020-07-31,BRL,5.1670324105
2020-07-31,BRL,5.1670324105
2020-07-31,BRL,5.1670324105
2020-08-03,BRL,5.2340951731
2020-08-04,BRL,5.3330216745
2020-08-05,BRL,5.2565378775
2020-08-06,BRL,5.3483070168
2020-08-07,BRL,5.3544892951
2020-08-07,BRL,5.3544892951
2020-08-07,BRL,5.3544892951
2020-08-10,BRL,5.4150301794
2020-08-11,BRL,5.4373249597
2020-08-12,BRL,5.4185710645
2020-08-13,BRL,5.3888278543
2020-08-14,BRL,5.3965969694
2020-08-14,BRL,5.3965969694
2020-08-14,BRL,5.3965969694
2020-08-17,BRL,5.4134818189
2020-08-18,BRL,5.4407861582
2020-08-19,BRL,5.4567166681
2020-08-20,BRL,5.6079324895
2020-08-21,BRL,5.6001359504
2020-08-21,BRL,5.6001359504
2020-08-21,BRL,5.6001359504
2020-08-24,BRL,5.5660504769
2020-08-25,BRL,5.5747418317
2020-08-26,BRL,5.5405038595
2020-08-27,BRL,5.5912248009
2020-08-28,BRL,5.5063365506
2020-08-28,BRL,5.5063365506
2020-08-28,BRL,5.5063365506
2020-08-31,BRL,5.4220268007
2020-09-01,BRL,5.4330524735
2020-09-02,BRL,5.4131186241
2020-09-03,BRL,5.369000254
2020-09-04,BRL,5.3010471204
2020-09-04,BRL,5.3010471204
2020-09-04,BRL,5.3010471204
2020-09-07,BRL,5.299729364
2020-09-08,BRL,5.382011031
2020-09-09,BRL,5.3329652595
2020-09-10,BRL,5.3100683602
2020-09-11,BRL,5.277627805
2020-09-11,BRL,5.277627805
2020-09-11,BRL,5.277627805
2020-09-14,BRL,5.313994611
2020-09-15,BRL,5.2364614867
2020-09-16,BRL,5.241469374
2020-09-17,BRL,5.2654912266
2020-09-18,BRL,5.2544578721
2020-09-18,BRL,5.2544578721
2020-09-18,BRL,5.2544578721
2020-09-21,BRL,5.4519385764
2020-09-22,BRL,5.4239352641
2020-09-23,BRL,5.5164214848
2020-09-24,BRL,5.5762129669
2020-09-25,BRL,5.5492521919
2020-09-25,BRL,5.5492521919
2020-09-25,BRL,5.5492521919
2020-09-28,BRL,5.5314481577
2020-09-29,BRL,5.6419415485
2020-09-30,BRL,5.6634779638
2020-10-01,BRL,5.6008339006
2020-10-02,BRL,5.6299232737
2020-10-02,BRL,5.6299232737
2020-10-02,BRL,5.6299232737
2020-10-05,BRL,5.6566961251
