date, base, rates
2020-05-27,HKD,7.7521608589
2020-05-27,HKD,7.7521608589
2020-05-28,HKD,7.7529956427
2020-05-29,HKD,7.7538613506
2020-05-29,HKD,7.7538613506
2020-05-29,HKD,7.7538613506
2020-06-01,HKD,7.7514393667
2020-06-02,HKD,7.7509396814
2020-06-03,HKD,7.7503126675
2020-06-04,HKD,7.7501333333
2020-06-05,HKD,7.7501323919
2020-06-05,HKD,7.7501323919
2020-06-05,HKD,7.7501323919
2020-06-08,HKD,7.7501107665
2020-06-09,HKD,7.7501328139
2020-06-10,HKD,7.7500659341
2020-06-11,HKD,7.7502643638
2020-06-12,HKD,7.7500884643
2020-06-12,HKD,7.7500884643
2020-06-12,HKD,7.7500884643
2020-06-15,HKD,7.7500222163
2020-06-16,HKD,7.7497347011
2020-06-17,HKD,7.7500890313
2020-06-18,HKD,7.750133666
2020-06-19,HKD,7.7510258698
2020-06-19,HKD,7.7510258698
2020-06-19,HKD,7.7510258698
