date, base, rates
2020-05-27,CZK,24.6119552361
2020-05-27,CZK,24.6119552361
2020-05-28,CZK,24.5252360203
2020-05-29,CZK,24.1747485632
2020-05-29,CZK,24.1747485632
2020-05-29,CZK,24.1747485632
2020-06-01,CZK,24.1624685139
2020-06-02,CZK,23.845534276
2020-06-03,CZK,23.8163301769
2020-06-04,CZK,23.6648888889
2020-06-05,CZK,23.4677846425
2020-06-05,CZK,23.4677846425
2020-06-05,CZK,23.4677846425
2020-06-08,CZK,23.5578201152
2020-06-09,CZK,23.5824331503
2020-06-10,CZK,23.3925274725
2020-06-11,CZK,23.5098695805
2020-06-12,CZK,23.6181882519
2020-06-12,CZK,23.6181882519
2020-06-12,CZK,23.6181882519
2020-06-15,CZK,23.7118990491
2020-06-16,CZK,23.4913335692
2020-06-17,CZK,23.6476139601
2020-06-18,CZK,23.7827481732
2020-06-19,CZK,23.8028545941
2020-06-19,CZK,23.8028545941
2020-06-19,CZK,23.8028545941
2020-06-22,CZK,23.7947025774
2020-06-23,CZK,23.5129881605
2020-06-24,CZK,23.6994680851
2020-06-25,CZK,23.925
2020-06-26,CZK,23.9079639704
2020-06-26,CZK,23.9079639704
2020-06-26,CZK,23.9079639704
2020-06-29,CZK,23.7929812123
2020-06-30,CZK,23.8792641543
2020-07-01,CZK,23.8125
2020-07-02,CZK,23.5973772816
2020-07-03,CZK,23.7571275837
2020-07-03,CZK,23.7571275837
2020-07-03,CZK,23.7571275837
2020-07-06,CZK,23.5805739514
2020-07-07,CZK,23.6324180691
2020-07-08,CZK,23.7001594896
2020-07-09,CZK,23.4720507847
2020-07-10,CZK,23.6706278822
2020-07-10,CZK,23.6706278822
2020-07-10,CZK,23.6706278822
2020-07-13,CZK,23.5219348574
2020-07-14,CZK,23.418021978
2020-07-15,CZK,23.232261447
2020-07-16,CZK,23.3861923953
2020-07-17,CZK,23.3479173959
2020-07-17,CZK,23.3479173959
2020-07-17,CZK,23.3479173959
2020-07-20,CZK,23.2337526205
2020-07-21,CZK,23.0962160273
2020-07-22,CZK,22.7716358611
2020-07-23,CZK,22.7694701357
2020-07-24,CZK,22.6292212267
2020-07-24,CZK,22.6292212267
2020-07-24,CZK,22.6292212267
2020-07-27,CZK,22.2729591837
2020-07-28,CZK,22.4041990271
