date, base, rates
2020-05-27,EUR,0.9098353198
2020-05-27,EUR,0.9098353198
2020-05-28,EUR,0.9077705156
2020-05-29,EUR,0.8979885057
2020-05-29,EUR,0.8979885057
2020-05-29,EUR,0.8979885057
2020-06-01,EUR,0.8996041742
2020-06-02,EUR,0.8949346698
2020-06-03,EUR,0.8933357156
2020-06-04,EUR,0.8888888889
2020-06-05,EUR,0.8826125331
2020-06-05,EUR,0.8826125331
2020-06-05,EUR,0.8826125331
2020-06-08,EUR,0.8861320337
2020-06-09,EUR,0.8854258899
2020-06-10,EUR,0.8791208791
2020-06-11,EUR,0.8812125485
2020-06-12,EUR,0.8846426044
2020-06-12,EUR,0.8846426044
2020-06-12,EUR,0.8846426044
2020-06-15,EUR,0.888651915
2020-06-16,EUR,0.8843296781
2020-06-17,EUR,0.8903133903
2020-06-18,EUR,0.8911067546
2020-06-19,EUR,0.8920606601
2020-06-19,EUR,0.8920606601
2020-06-19,EUR,0.8920606601
2020-06-22,EUR,0.8918219923
2020-06-23,EUR,0.8835483301
2020-06-24,EUR,0.8865248227
2020-06-25,EUR,0.8928571429
2020-06-26,EUR,0.8918219923
2020-06-26,EUR,0.8918219923
2020-06-26,EUR,0.8918219923
2020-06-29,EUR,0.8862105636
2020-06-30,EUR,0.8930166101
2020-07-01,EUR,0.8928571429
2020-07-02,EUR,0.8860535176
2020-07-03,EUR,0.8909479686
2020-07-03,EUR,0.8909479686
2020-07-03,EUR,0.8909479686
2020-07-06,EUR,0.8830022075
2020-07-07,EUR,0.8857395926
2020-07-08,EUR,0.8860535176
2020-07-09,EUR,0.8816787163
2020-07-10,EUR,0.8868393047
2020-07-10,EUR,0.8868393047
2020-07-10,EUR,0.8868393047
2020-07-13,EUR,0.8826904405
2020-07-14,EUR,0.8791208791
2020-07-15,EUR,0.8738203425
2020-07-16,EUR,0.8761170492
2020-07-17,EUR,0.8750437522
2020-07-17,EUR,0.8750437522
2020-07-17,EUR,0.8750437522
2020-07-20,EUR,0.8735150245
2020-07-21,EUR,0.8738967054
2020-07-22,EUR,0.8637070306
2020-07-23,EUR,0.8643789437
2020-07-24,EUR,0.8614748449
2020-07-24,EUR,0.8614748449
2020-07-24,EUR,0.8614748449
2020-07-27,EUR,0.8503401361
2020-07-28,EUR,0.8534607835
2020-07-29,EUR,0.8528784648
2020-07-30,EUR,0.8515711488
2020-07-31,EUR,0.8440243079
2020-07-31,EUR,0.8440243079
2020-07-31,EUR,0.8440243079
2020-08-03,EUR,0.8528057309
2020-08-04,EUR,0.8499787505
2020-08-05,EUR,0.843597098
2020-08-06,EUR,0.8443806468
2020-08-07,EUR,0.84623847
2020-08-07,EUR,0.84623847
2020-08-07,EUR,0.84623847
2020-08-10,EUR,0.8501232679
2020-08-11,EUR,0.8486803021
2020-08-12,EUR,0.8495454932
2020-08-13,EUR,0.845094228
2020-08-14,EUR,0.8465250148
2020-08-14,EUR,0.8465250148
2020-08-14,EUR,0.8465250148
2020-08-17,EUR,0.8436682696
2020-08-18,EUR,0.8399126491
2020-08-19,EUR,0.838012235
2020-08-20,EUR,0.8438818565
2020-08-21,EUR,0.8496898632
2020-08-21,EUR,0.8496898632
2020-08-21,EUR,0.8496898632
2020-08-24,EUR,0.8440955516
2020-08-25,EUR,0.8464533604
2020-08-26,EUR,0.8482483671
2020-08-27,EUR,0.8470269355
2020-08-28,EUR,0.8392782207
2020-08-28,EUR,0.8392782207
2020-08-28,EUR,0.8392782207
2020-08-31,EUR,0.837520938
2020-09-01,EUR,0.8342370902
2020-09-02,EUR,0.8430992328
2020-09-03,EUR,0.8465250148
2020-09-04,EUR,0.8444519507
2020-09-04,EUR,0.8444519507
2020-09-04,EUR,0.8444519507
2020-09-07,EUR,0.8457374831
2020-09-08,EUR,0.8485362749
2020-09-09,EUR,0.8494011722
2020-09-10,EUR,0.8439530762
2020-09-11,EUR,0.843597098
2020-09-11,EUR,0.843597098
2020-09-11,EUR,0.843597098
2020-09-14,EUR,0.842034355
2020-09-15,EUR,0.8409014464
2020-09-16,EUR,0.842530963
2020-09-17,EUR,0.8476731372
2020-09-18,EUR,0.845094228
2020-09-18,EUR,0.845094228
2020-09-18,EUR,0.845094228
2020-09-21,EUR,0.8483922966
2020-09-22,EUR,0.8517887564
2020-09-23,EUR,0.8552856654
2020-09-24,EUR,0.8587376556
2020-09-25,EUR,0.859549596
2020-09-25,EUR,0.859549596
2020-09-25,EUR,0.859549596
2020-09-28,EUR,0.8568980291
2020-09-29,EUR,0.854554777
2020-09-30,EUR,0.8541168432
2020-10-01,EUR,0.8509189925
2020-10-02,EUR,0.852514919
2020-10-02,EUR,0.852514919
2020-10-02,EUR,0.852514919
2020-10-05,EUR,0.8497620666
2020-10-06,EUR,0.8478168716
2020-10-07,EUR,0.849617672
2020-10-08,EUR,0.8499787505
2020-10-09,EUR,0.8478168716
2020-10-09,EUR,0.8478168716
2020-10-09,EUR,0.8478168716
2020-10-12,EUR,0.8475294516
2020-10-13,EUR,0.8483922966
2020-10-14,EUR,0.8510638298
2020-10-15,EUR,0.8548469824
2020-10-16,EUR,0.8517162082
2020-10-16,EUR,0.8517162082
2020-10-16,EUR,0.8517162082
2020-10-19,EUR,0.8485362749
2020-10-20,EUR,0.8467400508
2020-10-21,EUR,0.8437394533
2020-10-22,EUR,0.8459521191
2020-10-23,EUR,0.8434547908
2020-10-23,EUR,0.8434547908
2020-10-23,EUR,0.8434547908
