date, base, rates
2020-05-27,PHP,50.648712583
2020-05-27,PHP,50.648712583
2020-05-28,PHP,50.6463326071
2020-05-29,PHP,50.4947916667
2020-05-29,PHP,50.4947916667
2020-05-29,PHP,50.4947916667
2020-06-01,PHP,50.3301547319
2020-06-02,PHP,50.1798818686
2020-06-03,PHP,49.9580132214
2020-06-04,PHP,49.8746666667
2020-06-05,PHP,49.8296557811
2020-06-05,PHP,49.8296557811
2020-06-05,PHP,49.8296557811
2020-06-08,PHP,49.8901196278
2020-06-09,PHP,50.0451567204
2020-06-10,PHP,49.9050549451
2020-06-11,PHP,50.1313006697
2020-06-12,PHP,50.2149681529
2020-06-12,PHP,50.2149681529
2020-06-12,PHP,50.2149681529
2020-06-15,PHP,50.344796943
2020-06-16,PHP,50.1096568801
2020-06-17,PHP,50.1006054131
2020-06-18,PHP,50.1710924969
2020-06-19,PHP,50.0740410348
2020-06-19,PHP,50.0740410348
2020-06-19,PHP,50.0740410348
2020-06-22,PHP,50.120395969
2020-06-23,PHP,50.0839370914
2020-06-24,PHP,50.0469858156
2020-06-25,PHP,50.0669642857
2020-06-26,PHP,49.9892981361
2020-06-26,PHP,49.9892981361
2020-06-26,PHP,49.9892981361
2020-06-29,PHP,49.8564338887
2020-06-30,PHP,49.8606894088
2020-07-01,PHP,49.8133928571
2020-07-02,PHP,49.6881091618
2020-07-03,PHP,49.4796863863
2020-07-03,PHP,49.4796863863
2020-07-03,PHP,49.4796863863
2020-07-06,PHP,49.3342163355
2020-07-07,PHP,49.5057573074
2020-07-08,PHP,49.5286195286
2020-07-09,PHP,49.4286721919
2020-07-10,PHP,49.4803121674
2020-07-10,PHP,49.4803121674
2020-07-10,PHP,49.4803121674
2020-07-13,PHP,49.428899285
2020-07-14,PHP,49.4989010989
2020-07-15,PHP,49.4442502621
2020-07-16,PHP,49.4997371649
2020-07-17,PHP,49.4495974799
2020-07-17,PHP,49.4495974799
2020-07-17,PHP,49.4495974799
2020-07-20,PHP,49.3535988819
2020-07-21,PHP,49.3358385039
2020-07-22,PHP,49.3263085162
2020-07-23,PHP,49.4442043392
2020-07-24,PHP,49.3762922123
2020-07-24,PHP,49.3762922123
2020-07-24,PHP,49.3762922123
2020-07-27,PHP,49.1641156463
2020-07-28,PHP,49.2139626184
2020-07-29,PHP,49.0729211087
2020-07-30,PHP,49.1203270033
2020-07-31,PHP,49.0580688724
2020-07-31,PHP,49.0580688724
2020-07-31,PHP,49.0580688724
2020-08-03,PHP,49.1037011769
2020-08-04,PHP,49.1066723332
2020-08-05,PHP,49.0298633373
2020-08-06,PHP,49.0889132821
2020-08-07,PHP,49.0462892443
2020-08-07,PHP,49.0462892443
2020-08-07,PHP,49.0462892443
2020-08-10,PHP,49.1260732806
2020-08-11,PHP,48.8967156072
2020-08-12,PHP,48.9601563164
2020-08-13,PHP,48.8194033635
2020-08-14,PHP,48.7200541776
2020-08-14,PHP,48.7200541776
2020-08-14,PHP,48.7200541776
2020-08-17,PHP,48.6737534801
2020-08-18,PHP,48.5503107677
2020-08-19,PHP,48.5301265398
2020-08-20,PHP,48.6978902954
2020-08-21,PHP,48.7076217181
2020-08-21,PHP,48.7076217181
2020-08-21,PHP,48.7076217181
2020-08-24,PHP,48.4907571537
2020-08-25,PHP,48.5500253936
2020-08-26,PHP,48.5740944949
2020-08-27,PHP,48.6057936642
2020-08-28,PHP,48.4062106588
2020-08-28,PHP,48.4062106588
2020-08-28,PHP,48.4062106588
2020-08-31,PHP,48.4396984925
2020-09-01,PHP,48.5284057729
2020-09-02,PHP,48.6173172582
2020-09-03,PHP,48.5812240752
2020-09-04,PHP,48.5813207229
2020-09-04,PHP,48.5813207229
2020-09-04,PHP,48.5813207229
2020-09-07,PHP,48.6696549391
2020-09-08,PHP,48.6491302503
2020-09-09,PHP,48.6503015374
2020-09-10,PHP,48.604945565
2020-09-11,PHP,48.5498565885
2020-09-11,PHP,48.5498565885
2020-09-11,PHP,48.5498565885
2020-09-14,PHP,48.4902324015
2020-09-15,PHP,48.3594012782
2020-09-16,PHP,48.359592215
2020-09-17,PHP,48.4589302365
2020-09-18,PHP,48.4289698301
2020-09-18,PHP,48.4289698301
2020-09-18,PHP,48.4289698301
2020-09-21,PHP,48.4788326122
2020-09-22,PHP,48.465076661
2020-09-23,PHP,48.5614095108
2020-09-24,PHP,48.5590382138
2020-09-25,PHP,48.5052432525
2020-09-25,PHP,48.5052432525
2020-09-25,PHP,48.5052432525
2020-09-28,PHP,48.5107112254
2020-09-29,PHP,48.4489830798
2020-09-30,PHP,48.4916296549
2020-10-01,PHP,48.4436691627
2020-10-02,PHP,48.4774083546
2020-10-02,PHP,48.4774083546
2020-10-02,PHP,48.4774083546
2020-10-05,PHP,48.4032970768
2020-10-06,PHP,48.4417125901
2020-10-07,PHP,48.4103653356
2020-10-08,PHP,48.4521886953
2020-10-09,PHP,48.395930479
2020-10-09,PHP,48.395930479
2020-10-09,PHP,48.395930479
2020-10-12,PHP,48.536316637
2020-10-13,PHP,48.6340884025
2020-10-14,PHP,48.7182978723
2020-10-15,PHP,48.7741494273
2020-10-16,PHP,48.6738778639
2020-10-16,PHP,48.6738778639
2020-10-16,PHP,48.6738778639
2020-10-19,PHP,48.5625795503
2020-10-20,PHP,48.5461473328
2020-10-21,PHP,48.5479244009
2020-10-22,PHP,48.6143304289
2020-10-23,PHP,48.4041835358
2020-10-23,PHP,48.4041835358
2020-10-23,PHP,48.4041835358
2020-10-26,PHP,48.4008799391
2020-10-27,PHP,48.3071331981
2020-10-28,PHP,48.3567834911
2020-10-29,PHP,48.4321599453
2020-10-30,PHP,48.4142588477
2020-10-30,PHP,48.4142588477
2020-10-30,PHP,48.4142588477
2020-11-02,PHP,48.4097150704
2020-11-03,PHP,48.3541274996
2020-11-04,PHP,48.3892159372
2020-11-05,PHP,48.2648671447
2020-11-06,PHP,48.1819713564
2020-11-06,PHP,48.1819713564
2020-11-06,PHP,48.1819713564
